Temperature,Time
291.007360739034,0
289.250547498491,0.05
287.952065135509,0.1
299.994323674069,0.15
299.1483424846,0.2
293.969211795014,0.25
296.572924592237,0.3
295.024518845135,0.35
294.932056432324,0.4
294.80735692032,0.45
294.753359266504,0.5
294.720340240158,0.55
294.697646356694,0.6
294.680551700187,0.65
294.66527772466,0.7
294.651549405683,0.75
294.637100141061,0.8
294.624960993675,0.85
294.611076857013,0.9
294.599239703691,0.95
294.58533785761,1
294.573421429951,1.05
294.560407757751,1.1
294.547086257445,1.15
294.535024162274,1.2
294.522737109391,1.25
294.510602787234,1.3
294.495761073492,1.35
294.481379907736,1.4
294.469711942418,1.45
294.456314373642,1.5
294.443163342149,1.55
294.429922251608,1.6
294.416821702703,1.65
294.404158315388,1.7
294.390490660723,1.75
294.377898786082,1.8
294.364719517432,1.85
294.351279917485,1.9
294.338861625345,1.95
294.325131586271,2
294.31241535127,2.05
294.299565451539,2.1
294.285979838801,2.15
294.27335800101,2.2
294.260121707131,2.25
294.247085505803,2.3
294.233927773129,2.35
294.221240125255,2.4
294.207828423579,2.45
294.194729166501,2.5
294.181936794554,2.55
294.168893920865,2.6
294.155794306646,2.65
294.142651937714,2.7
294.12978052615,2.75
294.116202376688,2.8
294.104535926755,2.85
294.089592517591,2.9
294.078000337773,2.95
294.064158860028,3
294.051950626109,3.05
294.037958126356,3.1
294.025606648505,3.15
294.012108106085,3.2
293.999812460446,3.25
293.985631521185,3.3
293.973613951994,3.35
293.960240633877,3.4
293.946946642304,3.45
293.934652200744,3.5
293.920419481268,3.55
293.908551327742,3.6
293.895268306092,3.65
293.881528791595,3.7
293.869323787498,3.75
293.855712482191,3.8
293.843594599143,3.85
293.82934325311,3.9
293.816958242759,3.95
293.80424125866,4
293.790411932339,4.05
293.778518511129,4.1
293.76409413351,4.15
293.752542546468,4.2
293.738220617927,4.25
293.72618720496,4.3
293.712090841178,4.35
293.700626804841,4.4
293.686340926348,4.45
293.673630161922,4.5
293.660614973737,4.55
293.648267528545,4.6
293.633950448829,4.65
293.621913184833,4.7
293.608914533268,4.75
293.595180377764,4.8
293.583116138953,4.85
293.569234566677,4.9
293.556648766981,4.95
293.543425753626,5
293.531234816727,5.05
293.516813005631,5.1
293.504881784624,5.15
293.491600633717,5.2
293.478497130782,5.25
293.465504655506,5.3
293.452961988452,5.35
293.438675555439,5.4
293.427374627615,5.45
293.412985637908,5.5
293.400874585498,5.55
293.387246329239,5.6
293.374880647757,5.65
293.361165791493,5.7
293.348543579247,5.75
293.335961098363,5.8
293.321828935842,5.85
293.310005906985,5.9
293.296445528355,5.95
293.283291241243,6
293.270713142336,6.05
293.25791655231,6.1
293.243529815278,6.15
293.232492310354,6.2
293.218036140768,6.25
293.205681625212,6.3
293.192750122883,6.35
293.179213900125,6.4
293.166713700439,6.45
293.153693582008,6.5
293.140252768319,6.55
293.12797957726,6.6
293.11458989658,6.65
293.100919314223,6.7
293.089689366676,6.75
293.074794884207,6.8
293.062942828079,6.85
293.049533892947,6.9
293.036751249224,6.95
293.023922068385,7
293.010161405264,7.05
292.99803963214,7.1
292.984591628344,7.15
292.971618906209,7.2
292.958959402112,7.25
292.945738384661,7.3
292.932298306346,7.35
292.920600405754,7.4
292.90629648826,7.45
292.893468613696,7.5
292.881721974858,7.55
292.867047555249,7.6
292.855378384892,7.65
292.84170877494,7.7
292.82871654488,7.75
292.816050599342,7.8
292.803091687439,7.85
292.789849622011,7.9
292.776917932112,7.95
292.764129147558,8
292.750891667881,8.05
292.738456031037,8.1
292.724552279436,8.15
292.712247600449,8.2
292.699149328207,8.25
292.686303973868,8.3
292.67282496842,8.35
292.660263120612,8.4
292.647654870951,8.45
292.633536973105,8.5
292.621684648618,8.55
292.608222005238,8.6
292.595541948106,8.65
292.581764405736,8.7
292.56971095195,8.75
292.556677314987,8.8
292.542719340268,8.85
292.530743771865,8.9
292.5178583215,8.95
292.50386718549,9
292.492055630603,9.05
292.478485852603,9.1
292.465194842738,9.15
292.452801440398,9.2
292.440056904541,9.25
292.425913486035,9.3
292.414541778058,9.35
292.400196172314,9.4
292.387576905114,9.45
292.37530804886,9.5
292.361692911374,9.55
292.348704386955,9.6
292.336083709011,9.65
292.322619246795,9.7
292.310147070165,9.75
292.296990907019,9.8
292.284005174657,9.85
292.270969272398,9.9
292.25840154637,9.95
292.24453654706,10
292.232754501641,10.05
292.218891559206,10.1
292.206432436013,10.15
292.192938260002,10.2
292.180346756366,10.25
292.16763680001,10.3
292.154159205051,10.35
292.141245933345,10.4
292.128752294936,10.45
292.11543214142,10.5
292.102221362702,10.55
292.089628855266,10.6
292.076823387432,10.65
292.063248715668,10.7
292.051129412779,10.75
292.037109868595,10.8
292.025359307336,10.85
292.011107780694,10.9
291.999155852062,10.95
291.986023431409,11
291.972616278125,11.05
291.95982541024,11.1
291.947211757217,11.15
291.933943692334,11.2
291.920625460889,11.25
291.908746991148,11.3
291.894685649623,11.35
291.881974089033,11.4
291.869469727971,11.45
291.856251494409,11.5
291.84319830948,11.55
291.830248396262,11.6
291.817250210321,11.65
291.804717950887,11.7
291.790767687522,11.75
291.779099530738,11.8
291.765258058805,11.85
291.752563913406,11.9
291.739338458207,11.95
291.727250936286,12
291.712763971001,12.05
291.70135091667,12.1
291.687694904389,12.15
291.674363102203,12.2
291.662260575662,12.25
291.648488063041,12.3
291.63623983816,12.35
291.622476545878,12.4
291.610455058887,12.45
291.596620439336,12.5
291.584521282143,12.55
291.570506846076,12.6
291.558651255716,12.65
291.544843932342,12.7
291.532364849075,12.75
291.519263427721,12.8
291.50590376119,12.85
291.493823531165,12.9
291.480212173441,12.95
291.467285587747,13
291.454984257514,13.05
291.440749297199,13.1
291.429059686161,13.15
291.415191159592,13.2
291.402744857156,13.25
291.389902972043,13.3
291.376222052229,13.35
291.363976950553,13.4
291.35098631671,13.45
291.337247218537,13.5
291.325259577982,13.55
291.311848768257,13.6
291.298888308771,13.65
291.285797996721,13.7
291.273189114841,13.75
291.260081175674,13.8
291.246645362849,13.85
291.234757664615,13.9
291.220662675675,13.95
291.20823198005,14
291.195469219707,14.05
291.182123355649,14.1
291.169389405773,14.15
291.156013908296,14.2
291.144044148522,14.25
291.129613806425,14.3
291.11781326489,14.35
291.104875099349,14.4
291.090798786079,14.45
291.079010671024,14.5
291.065559923824,14.55
291.052500486962,14.6
291.039623051322,14.65
291.026740529218,14.7
291.013739740814,14.75
291.000909447532,14.8
290.987386908078,14.85
290.975541406742,14.9
290.961364582563,14.95
290.948801344094,15
290.936224693942,15.05
290.923119250426,15.1
290.909518042932,15.15
290.89754091395,15.2
290.883709398891,15.25
290.871234139451,15.3
290.858134523118,15.35
290.845127383449,15.4
290.831937831224,15.45
290.819796591717,15.5
290.805933803188,15.55
290.793213074387,15.6
290.780383161806,15.65
290.767440190176,15.7
290.754330777495,15.75
290.741152645347,15.8
290.728824304951,15.85
290.715163223339,15.9
290.702783456376,15.95
290.68911807215,16
290.677189284257,16.05
290.662612245444,16.1
290.651476706688,16.15
290.637362874888,16.2
290.624200846133,16.25
290.612577883517,16.3
290.597929480727,16.35
290.585767195866,16.4
290.573162985712,16.45
290.559474690179,16.5
290.546682082713,16.55
290.534324252547,16.6
290.520155139381,16.65
290.508545988191,16.7
290.494402657639,16.75
290.481867413965,16.8
290.469278405653,16.85
290.455532156111,16.9
290.443247187983,16.95
290.429928010573,17
290.416837673458,17.05
290.404259301072,17.1
290.39106874626,17.15
290.37776813448,17.2
290.365028154858,17.25
290.352354434567,17.3
290.338905181758,17.35
290.326221766641,17.4
290.312985409834,17.45
290.300364545267,17.5
290.287176707689,17.55
290.273821376806,17.6
290.261334038452,17.65
290.248319375023,17.7
290.234896424886,17.75
290.222525991975,17.8
