Temperature,Time
287.871737034896,0
287.721760261082,0.05
287.262192017457,0.1
313.83107699692,0.15
311.795458172132,0.2
301.281264053886,0.25
305.359699818121,0.3
302.048917381585,0.35
301.543346837161,0.4
301.150750397961,0.45
300.964371716004,0.5
300.856283754646,0.55
300.787333898375,0.6
300.739398046715,0.65
300.700752312222,0.7
300.668325018237,0.75
300.636558054772,0.8
300.61021830209,0.85
300.581478291764,0.9
300.556927553811,0.95
300.528932993599,1
300.504719933683,1.05
300.47868769725,1.1
300.452128168949,1.15
300.427933528662,1.2
300.403434310807,1.25
300.379262053865,1.3
300.350105829129,1.35
300.321650609808,1.4
300.298209053086,1.45
300.271740048741,1.5
300.245689622387,1.55
300.219486757952,1.6
300.193552183796,1.65
300.168447890581,1.7
300.141531338155,1.75
300.116564719816,1.8
300.090577117263,1.85
300.064102657067,1.9
300.039504932246,1.95
300.012556565462,2
299.987429364653,2.05
299.962111924446,2.1
299.935458266637,2.15
299.91055078779,2.2
299.884570395569,2.25
299.858949425555,2.3
299.833123453304,2.35
299.808170102708,2.4
299.781926326085,2.45
299.756235324634,2.5
299.731128902464,2.55
299.705597309913,2.6
299.679967693642,2.65
299.65426737606,2.7
299.629072899661,2.75
299.602610692032,2.8
299.579628558657,2.85
299.550759070668,2.9
299.527878078049,2.95
299.501038756442,3
299.47711648299,3.05
299.450013655772,3.1
299.425841544574,3.15
299.399655683914,3.2
299.375636435851,3.25
299.34824421621,3.3
299.324722154444,3.35
299.298835728679,3.4
299.273060405574,3.45
299.249110204881,3.5
299.221695031615,3.55
299.198506352202,3.6
299.1728601538,3.65
299.146350120413,3.7
299.122603723182,3.75
299.096386397119,3.8
299.072842193933,3.85
299.045501332082,3.9
299.02146428631,3.95
298.996910386663,4
298.97035619157,4.05
298.947267414722,4.1
298.919690111528,4.15
298.897221340836,4.2
298.869868851262,4.25
298.846561177735,4.3
298.819620856929,4.35
298.797373303775,4.4
298.770151768985,4.45
298.745675019224,4.5
298.720708635416,4.55
298.696961000237,4.6
298.669705303829,4.65
298.646483355846,4.7
298.621631724497,4.75
298.595444480414,4.8
298.572235378608,4.85
298.545837381226,4.9
