Temperature,Time
290.058670052926,0
288.949482733254,0.05
287.980467969505,0.1
296.781959675381,0.15
296.307879175806,0.2
292.588830113939,0.25
294.162552768972,0.3
293.058502722742,0.35
292.903247908257,0.4
292.789657775932,0.45
292.738396369294,0.5
292.709567343585,0.55
292.691140044758,0.6
292.678010879646,0.65
292.666734308022,0.7
292.656727440766,0.75
292.646268155991,0.8
292.637390965899,0.85
292.62731600048,0.9
292.618602376108,0.95
292.608465971395,1
292.59964983087,1.05
292.590105113209,1.1
292.580300848104,1.15
292.571368484454,1.2
292.562313407275,1.25
292.553358760097,1.3
292.542494183684,1.35
292.531865861361,1.4
292.523164102626,1.45
292.513330692252,1.5
292.503621275804,1.55
292.493854045724,1.6
292.484183829165,1.65
292.47482738534,1.7
292.464777230845,1.75
292.45545517105,1.8
292.445752497008,1.85
292.435849538213,1.9
292.426658506127,1.95
292.416575483094,2
292.407167490993,2.05
292.397696730309,2.1
292.387705191614,2.15
292.378369923245,2.2
292.36863216294,2.25
292.359017922854,2.3
292.349324253402,2.35
292.339959047365,2.4
292.330099424433,2.45
292.320437941529,2.5
292.311002356204,2.55
292.301401611463,2.6
292.291754122713,2.65
292.282074920142,2.7
292.272585751338,2.75
292.262608356119,2.8
292.253955484002,2.85
292.243057122596,2.9
292.234415317076,2.95
292.224294386447,3
292.215256401538,3.05
292.205012929064,3.1
292.195869440743,3.15
292.185970041543,3.2
292.176883225486,3.25
292.166508215923,3.3
292.157596163992,3.35
292.14779869264,3.4
292.138017341645,3.45
292.12893991621,3.5
292.118533040247,3.55
292.10972781531,3.6
292.100002667357,3.65
292.089915386122,3.7
292.080889894936,3.75
292.070926117585,3.8
292.061969457546,3.85
292.051561031421,3.9
292.042397126237,3.95
292.033058093338,4
292.022931142411,4.05
292.014127650093,4.1
292.003608895871,4.15
291.99502855564,4.2
291.984593686531,4.25
291.975680432079,4.3
291.965390052163,4.35
291.956884292688,4.4
291.946481901311,4.45
291.937097605214,4.5
291.927546933402,4.55
291.918458296793,4.6
291.908010553949,4.65
291.899098958852,4.7
291.889585084649,4.75
291.879529013136,4.8
291.870618716489,4.85
291.860488446122,4.9
291.85121070959,4.95
291.841526383857,5
291.832547580105,5.05
291.822039241143,5.1
291.813205121098,5.15
291.803503721391,5.2
291.793887918106,5.25
291.784354145022,5.3
291.775139942657,5.35
291.764720520971,5.4
291.756335723303,5.45
291.745884743874,5.5
291.736933234422,5.55
291.726989750139,5.6
291.717884832436,5.65
291.707875493295,5.7
291.69858929326,5.75
291.68936519229,5.8
291.679061204938,5.85
291.670322240339,5.9
