Temperature,Time
282.158621376473,0
281.721749902539,0.05
284.181233309471,0.1
276.99423367265,0.15
276.575393029115,0.2
279.857676002129,0.25
277.483695884804,0.3
278.084786780945,0.35
277.904092129949,0.4
277.877810226868,0.45
277.860704099072,0.5
277.855738373193,0.55
277.856313909316,0.6
277.859430278498,0.65
277.864652958488,0.7
277.870670288816,0.75
277.878193857703,0.8
277.884789084355,0.85
277.892917949057,0.9
277.899897096274,0.95
277.908394232558,1
277.915642005903,1.05
277.92369648228,1.1
277.931974135317,1.15
277.939442863668,1.2
277.947102856714,1.25
277.95467843808,1.3
277.964050978483,1.35
277.973078321096,1.4
277.980327295573,1.45
277.988782143686,1.5
277.997060901987,1.55
278.005409752817,1.6
278.013674183361,1.65
278.021661718508,1.7
278.030334320921,1.75
278.03828520092,1.8
278.046653965022,1.85
278.05519796499,1.9
278.063065668897,1.95
278.071836035886,2
278.079918670145,2.05
278.08811600946,2.1
278.096815614584,2.15
278.104866689217,2.2
278.113355103997,2.25
278.121710990614,2.3
278.130160772837,2.35
278.138303237911,2.4
278.146951210432,2.45
278.155387268069,2.5
278.163630477061,2.55
278.172059340767,2.6
278.180533384379,2.65
278.189044952364,2.7
278.197382539027,2.75
278.206213788522,2.8
278.21374791559,2.85
278.223548000944,2.9
278.231029471769,2.95
278.240100910586,3
278.248040593735,3.05
278.25722943684,3.1
278.265282502466,3.15
278.274153052298,3.2
278.282196555298,3.25
278.291558173343,3.3
278.299419670703,3.35
278.308253203802,3.4
278.317025293071,3.45
278.325119755537,3.5
278.334574173016,3.55
278.342382047129,3.6
278.35121012449,3.65
278.360345853384,3.7
278.368422237508,3.75
278.377505063332,3.8
278.38554649293,3.85
278.395097098629,3.9
278.403333440014,3.95
278.411836357502,4
278.421121595059,4.05
278.429053446087,4.1
278.438785766643,4.15
278.446491752499,4.2
278.456180525159,4.25
278.464245252349,4.3
278.473792506136,4.35
278.481482120484,4.4
278.49119530773,4.45
278.499777186482,4.5
278.508602016355,4.55
278.516967571285,4.6
278.526738825654,4.65
278.534887878078,4.7
278.543755851617,4.75
278.553143932453,4.8
278.561351365624,4.85
278.57087756223,4.9
278.579474698099,4.95
278.588549924083,5
278.596898007299,5.05
278.60685434169,5.1
278.615022091204,5.15
278.624192927907,5.2
278.633233995847,5.25
278.642207343542,5.3
278.650873035045,5.35
278.660801861775,5.4
278.668584390555,5.45
278.678626673291,5.5
278.687011054146,5.55
278.69652086069,5.6
278.705118989843,5.65
278.714712788985,5.7
278.723515930573,5.75
278.73231468431,5.8
278.742244311723,5.85
278.750498743266,5.9
278.760047871363,5.95
278.769295790153,6
278.778140878122,6.05
278.787164215188,6.1
278.797350608675,6.15
278.80509614397,6.2
278.815378837485,6.25
278.824105551923,6.3
278.833285777931,6.35
278.842914611596,6.4
278.851790730177,6.45
278.861070683237,6.5
278.870665277234,6.55
278.879410943773,6.6
278.889000560811,6.65
278.898796209686,6.7
278.906806501728,6.75
278.917552078506,6.8
278.926029729275,6.85
278.935697755913,6.9
278.944901780854,6.95
278.954157462894,7
278.964113908881,7.05
278.972859109969,7.1
278.982616573787,7.15
278.992020714207,7.2
279.001208259701,7.25
279.010829388321,7.3
279.020619760468,7.35
279.029122206062,7.4
279.039598394536,7.45
279.048958807702,7.5
279.057537206445,7.55
279.068330725422,7.6
279.07685654469,7.65
279.086922613298,7.7
279.096475270878,7.75
279.105800299605,7.8
279.115362288754,7.85
279.125147045239,7.9
279.134707232195,7.95
279.144175223583,8
279.153996366691,8.05
279.163219673947,8.1
279.173573832119,8.15
279.182715895704,8.2
279.19248676037,8.25
279.202072121043,8.3
279.212153168688,8.35
279.221543660784,8.4
279.230990497746,8.45
279.241601173685,8.5
279.250481703934,8.55
279.260625034272,8.6
279.270169818563,8.65
279.28057331922,8.7
279.289659522702,8.75
279.299525190068,8.8
279.310106283141,8.85
279.3191673755,8.9
279.328958550326,8.95
279.339608183426,9
279.348579454419,9.05
279.358939293574,9.1
279.369083617274,9.15
279.378547669056,9.2
279.3883045937,9.25
279.399157125407,9.3
279.407859518686,9.35
279.418907820402,9.4
279.428604573452,9.45
279.438053450144,9.5
279.4485691161,9.55
279.45859859312,9.6
279.46835822051,9.65
279.478794754416,9.7
279.488461524337,9.75
279.498684742565,9.8
279.508783189886,9.85
279.518935459699,9.9
279.528732849353,9.95
279.539568661303,10
279.548767421636,10.05
279.559635505659,10.1
279.569394976642,10.15
279.579995299442,10.2
279.589888808395,10.25
279.599895210432,10.3
279.610523864283,10.35
279.620713197819,10.4
279.630586180361,10.45
279.641133665184,10.5
279.651602906028,10.55
279.661593484549,10.6
279.671771808983,10.65
279.68257788468,10.7
279.692228365637,10.75
279.703424004647,10.8
279.712803134172,10.85
279.724217039996,10.9
279.733783232876,10.95
279.744325187015,11
279.755096951131,11.05
279.765384269295,11.1
279.775546131339,11.15
279.786252042454,11.2
279.797009734487,11.25
279.806614869172,11.3
279.818011740818,11.35
279.828316984355,11.4
279.838474397755,11.45
279.849228145118,11.5
279.859858338909,11.55
279.870419784011,11.6
279.881036041598,11.65
279.891285500929,11.7
279.902712134941,11.75
279.912277877717,11.8
279.92364962147,11.85
279.934085536199,11.9
279.944977647218,11.95
279.954945951542,12
279.966910160161,12.05
279.976345321176,12.1
279.987657761542,12.15
279.998709596285,12.2
280.008760183961,12.25
280.020213575307,12.3
280.030411908377,12.35
280.041888372075,12.4
280.05192724071,12.45
280.063495239421,12.5
280.073626920134,12.55
280.085376590571,12.6
280.095333477647,12.65
280.106942829615,12.7
280.117450649857,12.75
280.128498539141,12.8
280.139777305882,12.85
280.149996155173,12.9
280.161520018819,12.95
280.172479705659,13
280.182929384816,13.05
280.195027437089,13.1
280.204987712005,13.15
280.216810681983,13.2
280.227441071545,13.25
280.238424394648,13.3
280.250134771712,13.35
280.260640465917,13.4
280.271797411178,13.45
280.283606341653,13.5
280.293937846371,13.55
280.30550115648,13.6
280.316693500798,13.65
280.328014159897,13.7
280.338938444149,13.75
280.350306245939,13.8
280.361971537695,13.85
280.372322462141,13.9
280.384588661884,13.95
280.395436949291,14
280.406588649763,14.05
280.418258811163,14.1
280.429416491785,14.15
280.441146518156,14.2
280.451674315815,14.25
280.46435233259,14.3
280.474764383254,14.35
280.486180357772,14.4
280.498602983977,14.45
280.509050478068,14.5
280.520963132834,14.55
280.532550580138,14.6
280.543996494062,14.65
280.555463236898,14.7
280.567049684839,14.75
280.578502990914,14.8
280.590581700431,14.85
280.601202754253,14.9
280.613890754752,14.95
280.625177250019,15
280.636491022141,15.05
280.648286502337,15.1
280.660539118554,15.15
280.671372323411,15.2
280.683863453533,15.25
280.695170717327,15.3
280.707048030858,15.35
280.718860733079,15.4
280.730853919608,15.45
280.741928964036,15.5
280.75455516855,15.55
280.766182851323,15.6
280.777924141218,15.65
280.789782781227,15.7
280.801808151085,15.75
280.813914377238,15.8
280.825273927445,15.85
280.837847708999,15.9
280.849287889691,15.95
280.861903262215,16
280.872970073212,16.05
280.886445924386,16.1
280.896831074162,16.15
280.909921765918,16.2
280.92217692152,16.25
280.933049007098,16.3
280.94668465083,16.35
280.958086423778,16.4
280.969900103523,16.45
280.982720593647,16.5
280.994746805965,16.55
281.006389330163,16.6
281.019707667328,16.65
281.030703322209,16.7
281.044034360215,16.75
281.055916063415,16.8
281.06785877654,16.85
281.080885483661,16.9
281.092588124243,16.95
281.105257996288,17
281.117739453862,17.05
281.129764732803,17.1
281.142372494071,17.15
281.155105241733,17.2
281.167337963801,17.25
281.17952300558,17.3
281.192447865827,17.35
281.204682207767,17.4
281.217448720977,17.45
281.229660578174,17.5
281.242418275799,17.55
281.25535678812,17.6
281.267501820426,17.65
281.280154192728,17.7
281.293212942998,17.75
281.305302710061,17.8
281.318339163965,17.85
281.331359661344,17.9
281.343063130109,17.95
281.357346882063,18
281.368522558942,18.05
281.382394661686,18.1
281.394531456873,18.15
