Temperature,Time
299.654060855523,0
299.50528890735,0.05
299.335762330893,0.1
298.836484230823,0.15
298.542123889549,0.2
298.483010342018,0.25
298.256968773034,0.3
298.139944958377,0.35
298.039538220092,0.4
297.966605431845,0.45
297.91321448179,0.5
297.874658164505,0.55
297.847066536487,0.6
297.827475844335,0.65
297.813705314816,0.7
297.804108013273,0.75
297.797530334103,0.8
297.793037557527,0.85
297.790086588217,0.9
297.788156983446,0.95
297.787015399133,1
297.786358286185,1.05
297.786084892322,1.1
297.786077644996,1.15
297.786220820429,1.2
297.786485862917,1.25
297.786830562944,1.3
297.787299554034,1.35
297.787817590252,1.4
297.788304013383,1.45
297.788837242352,1.5
297.789382393809,1.55
297.789939613796,1.6
297.790500967193,1.65
297.79105559622,1.7
297.791635062313,1.75
297.79219572451,1.8
297.792767724765,1.85
297.793349327651,1.9
297.793909283429,1.95
297.794496738489,2
297.795066152245,2.05
297.795635331515,2.1
297.79622231028,2.15
297.796790509443,2.2
297.797369901666,2.25
297.797946905028,2.3
297.798526987123,2.35
297.799096411692,2.4
297.799681235781,2.45
297.800262410901,2.5
297.800835915315,2.55
297.801413625118,2.6
297.801993684452,2.65
297.802575904548,2.7
297.803152410067,2.75
297.803745483958,2.8
297.804295206565,2.85
297.804915799475,2.9
297.805470727811,2.95
297.806067086404,3
297.806631479105,3.05
297.807233441424,3.1
297.807803835394,3.15
297.808396124137,3.2
297.808963186767,3.25
297.809571679366,3.3
297.810136684477,3.35
297.810725619992,3.4
297.811317671216,3.45
297.811886513437,3.5
297.812498336244,3.55
297.813061866662,3.6
297.813649520938,3.65
297.814253676848,3.7
297.814824984539,3.75
297.815423841738,3.8
297.815991284255,3.85
297.816605175161,3.9
297.817184065026,3.95
297.817763787295,4
297.818370703043,4.05
297.818936204512,4.1
297.819555856245,4.15
297.820116363487,4.2
297.820733111616,4.25
297.821305372078,4.3
297.821920208204,4.35
297.822478524035,4.4
297.823094479472,4.45
297.823684547202,4.5
297.824277951948,4.55
297.824854520176,4.6
297.825476713072,4.65
297.826053316041,4.7
297.826643842866,4.75
297.826644435019,4.8
297.826645012159,4.85
297.826645578376,4.9
297.826646135602,4.95
297.826646685009,5
297.826669473518,5.05
297.827330584462,5.1
297.828113865376,5.15
297.829075296644,5.2
297.830035381108,5.25
297.830980728043,5.3
297.831884413099,5.35
297.832896017078,5.4
297.833698811197,5.45
297.834700232823,5.5
297.83554474885,5.55
297.836396009668,5.6
297.837140465413,5.65
297.837856781299,5.7
297.838515764119,5.75
297.839145995159,5.8
297.839799436612,5.85
297.840394776096,5.9
297.841017251182,5.95
297.841633109103,6
297.84223253666,6.05
297.842832320066,6.1
297.84347256278,6.15
297.844037672917,6.2
297.844671871322,6.25
297.845268068818,6.3
297.845871453804,6.35
